
==========================================================================================
[2026-01-22T06:32:50] START trial=107 seed=20262121
CMD: C:\Users\stewe67\PycharmProjects\FilteredTest\.venv\Scripts\python.exe C:\Users\stewe67\PycharmProjects\FilteredTest\main.py --dataset C:\Users\stewe67\PycharmProjects\FilteredTest\dataset\dataset_2026-01-13_masked.npy --mask C:\Users\stewe67\PycharmProjects\FilteredTest\dataset\mask_2026-01-13_masked.npy --assets C:\Users\stewe67\PycharmProjects\FilteredTest\dataset\assets_2026-01-13.txt --dates C:\Users\stewe67\PycharmProjects\FilteredTest\dataset\dates_2026-01-13.txt --features C:\Users\stewe67\PycharmProjects\FilteredTest\dataset\features_2026-01-13.json --cfg C:\Users\stewe67\PycharmProjects\FilteredTest\runs_tcn_sweep_robust\sweep\trial_0107\cfg.json --outdir C:\Users\stewe67\PycharmProjects\FilteredTest\runs_full_trial107_seed20262121 --epochs 120 --seed 20262121 --max_anchors_val 0 --early_stop_min_epochs 30 --early_stop_patience 12
[INFO] 2026-01-22 06:32:58,802 - device=cuda
[INFO] loaded cube: A=2395, T=7000, F=25
[INFO] time split: train=[0,4899] val=[4900,5949] test=[5950,6999]
[INFO] date ranges: train 1999-01-04..2017-10-13 | val 2017-10-16..2021-10-22 | test 2021-10-25..2025-10-31
[INFO] applied masked standardization using train-only statistics
[INFO] asset_keep: 2395/2395 assets remain after mask-only filter
[INFO] samples: train=800000 val=1615532 test=1617230
[INFO] 2026-01-22 06:33:39,634 - training start
[INFO] 2026-01-22 06:33:42,300 - E001 S00001/00782 loss=0.708695 ema=0.708695 y_mean=0.512 lr=5.000e-04 step/s=0.38
[INFO] 2026-01-22 06:34:08,207 - E001 S00100/00782 loss=0.691344 ema=0.692307 y_mean=0.521 lr=5.000e-04 step/s=3.50
[INFO] 2026-01-22 06:34:34,469 - E001 S00200/00782 loss=0.692895 ema=0.691494 y_mean=0.500 lr=5.000e-04 step/s=3.65
[INFO] 2026-01-22 06:35:00,717 - E001 S00300/00782 loss=0.690499 ema=0.691212 y_mean=0.524 lr=5.000e-04 step/s=3.70
[INFO] 2026-01-22 06:35:27,071 - E001 S00400/00782 loss=0.689782 ema=0.690655 y_mean=0.520 lr=5.000e-04 step/s=3.72
[INFO] 2026-01-22 06:35:53,236 - E001 S00500/00782 loss=0.681099 ema=0.689024 y_mean=0.548 lr=5.000e-04 step/s=3.74
[INFO] 2026-01-22 06:36:19,591 - E001 S00600/00782 loss=0.689270 ema=0.689652 y_mean=0.552 lr=5.000e-04 step/s=3.75
[INFO] 2026-01-22 06:36:45,762 - E001 S00700/00782 loss=0.689343 ema=0.689028 y_mean=0.522 lr=5.000e-04 step/s=3.76
[INFO] 2026-01-22 06:45:48,128 - [VAL] thr=0.629 trades=613 avg_rnet=0.013555 winrate=0.630
[INFO] 2026-01-22 06:45:48,128 - E001 DONE train_loss=0.691877 val_bce=0.693298 val_acc@0.5=0.5230 n_val=1615532 epoch_time_s=728.5
[INFO] 2026-01-22 06:45:48,182 - [CKPT] saved best_model.pt (best_val_avg_rnet=0.013555, trades=613, thr=0.629)
[INFO] 2026-01-22 06:45:48,599 - E002 S00001/00782 loss=0.685656 ema=0.685656 y_mean=0.496 lr=4.999e-04 step/s=2.50
[INFO] 2026-01-22 06:46:15,236 - E002 S00100/00782 loss=0.685550 ema=0.688305 y_mean=0.515 lr=4.999e-04 step/s=3.70
[INFO] 2026-01-22 06:46:41,866 - E002 S00200/00782 loss=0.696296 ema=0.688684 y_mean=0.509 lr=4.999e-04 step/s=3.73
[INFO] 2026-01-22 06:47:08,659 - E002 S00300/00782 loss=0.687679 ema=0.688442 y_mean=0.533 lr=4.999e-04 step/s=3.73
[INFO] 2026-01-22 06:47:35,263 - E002 S00400/00782 loss=0.687955 ema=0.687621 y_mean=0.480 lr=4.999e-04 step/s=3.74
[INFO] 2026-01-22 06:48:02,148 - E002 S00500/00782 loss=0.689413 ema=0.687122 y_mean=0.496 lr=4.999e-04 step/s=3.73
[INFO] 2026-01-22 06:48:29,176 - E002 S00600/00782 loss=0.687442 ema=0.685375 y_mean=0.536 lr=4.999e-04 step/s=3.73
[INFO] 2026-01-22 06:48:55,898 - E002 S00700/00782 loss=0.689865 ema=0.685730 y_mean=0.508 lr=4.999e-04 step/s=3.73
