
==========================================================================================
[2026-01-25T18:44:52] START trial=107 seed=20264121
CMD: C:\Users\stewe67\PycharmProjects\FilteredTest\.venv\Scripts\python.exe C:\Users\stewe67\PycharmProjects\FilteredTest\main.py --dataset C:\Users\stewe67\PycharmProjects\FilteredTest\dataset\dataset_2026-01-13_masked.npy --mask C:\Users\stewe67\PycharmProjects\FilteredTest\dataset\mask_2026-01-13_masked.npy --assets C:\Users\stewe67\PycharmProjects\FilteredTest\dataset\assets_2026-01-13.txt --dates C:\Users\stewe67\PycharmProjects\FilteredTest\dataset\dates_2026-01-13.txt --features C:\Users\stewe67\PycharmProjects\FilteredTest\dataset\features_2026-01-13.json --cfg C:\Users\stewe67\PycharmProjects\FilteredTest\runs_tcn_sweep_robust\sweep\trial_0107\cfg.json --outdir C:\Users\stewe67\PycharmProjects\FilteredTest\runs_full_trial107_seed20264121 --epochs 120 --seed 20264121 --max_anchors_val 0 --early_stop_min_epochs 30 --early_stop_patience 20
[INFO] 2026-01-25 18:45:00,692 - device=cuda
[INFO] loaded cube: A=2395, T=7000, F=25
[INFO] time split: train=[0,4899] val=[4900,5949] test=[5950,6999]
[INFO] date ranges: train 1999-01-04..2017-10-13 | val 2017-10-16..2021-10-22 | test 2021-10-25..2025-10-31
[INFO] applied masked standardization using train-only statistics
[INFO] asset_keep: 2395/2395 assets remain after mask-only filter
[INFO] samples: train=800000 val=1615532 test=1617230
[INFO] 2026-01-25 18:45:43,166 - training start
[INFO] 2026-01-25 18:45:46,115 - E001 S00001/00782 loss=0.702255 ema=0.702255 y_mean=0.510 lr=5.000e-04 step/s=0.35
[INFO] 2026-01-25 18:46:12,158 - E001 S00100/00782 loss=0.694945 ema=0.692861 y_mean=0.500 lr=5.000e-04 step/s=3.45
[INFO] 2026-01-25 18:46:38,480 - E001 S00200/00782 loss=0.692579 ema=0.690903 y_mean=0.515 lr=5.000e-04 step/s=3.62
[INFO] 2026-01-25 18:47:04,673 - E001 S00300/00782 loss=0.695000 ema=0.691528 y_mean=0.504 lr=5.000e-04 step/s=3.68
[INFO] 2026-01-25 18:47:31,147 - E001 S00400/00782 loss=0.683178 ema=0.689118 y_mean=0.556 lr=5.000e-04 step/s=3.70
[INFO] 2026-01-25 18:47:57,441 - E001 S00500/00782 loss=0.692117 ema=0.690475 y_mean=0.517 lr=5.000e-04 step/s=3.72
[INFO] 2026-01-25 18:48:23,834 - E001 S00600/00782 loss=0.687751 ema=0.690102 y_mean=0.534 lr=5.000e-04 step/s=3.73
[INFO] 2026-01-25 18:48:50,106 - E001 S00700/00782 loss=0.690184 ema=0.688731 y_mean=0.497 lr=5.000e-04 step/s=3.74
[INFO] 2026-01-25 18:57:52,157 - [VAL] thr=0.659 trades=399 avg_rnet=0.022907 winrate=0.692
[INFO] 2026-01-25 18:57:52,165 - E001 DONE train_loss=0.692128 val_bce=0.693724 val_acc@0.5=0.5242 n_val=1615532 epoch_time_s=729.0
[INFO] 2026-01-25 18:57:52,225 - [CKPT] saved best_model.pt (best_val_avg_rnet=0.022907, trades=399, thr=0.659)
[INFO] 2026-01-25 18:57:52,627 - E002 S00001/00782 loss=0.689237 ema=0.689237 y_mean=0.500 lr=4.999e-04 step/s=2.49
[INFO] 2026-01-25 18:58:20,714 - E002 S00100/00782 loss=0.683347 ema=0.687295 y_mean=0.530 lr=4.999e-04 step/s=3.51
[INFO] 2026-01-25 18:58:47,419 - E002 S00200/00782 loss=0.687704 ema=0.687436 y_mean=0.506 lr=4.999e-04 step/s=3.62
[INFO] 2026-01-25 18:59:14,339 - E002 S00300/00782 loss=0.684479 ema=0.687840 y_mean=0.519 lr=4.999e-04 step/s=3.65
[INFO] 2026-01-25 18:59:41,122 - E002 S00400/00782 loss=0.682559 ema=0.685318 y_mean=0.527 lr=4.999e-04 step/s=3.67
[INFO] 2026-01-25 19:00:08,190 - E002 S00500/00782 loss=0.677331 ema=0.681408 y_mean=0.512 lr=4.999e-04 step/s=3.68
[INFO] 2026-01-25 19:00:35,240 - E002 S00600/00782 loss=0.691514 ema=0.678369 y_mean=0.515 lr=4.999e-04 step/s=3.68
[INFO] 2026-01-25 19:01:02,018 - E002 S00700/00782 loss=0.662388 ema=0.675064 y_mean=0.489 lr=4.999e-04 step/s=3.69
