
==========================================================================================
[2026-01-25T12:24:21] START trial=107 seed=20263121
CMD: C:\Users\stewe67\PycharmProjects\FilteredTest\.venv\Scripts\python.exe C:\Users\stewe67\PycharmProjects\FilteredTest\main.py --dataset C:\Users\stewe67\PycharmProjects\FilteredTest\dataset\dataset_2026-01-13_masked.npy --mask C:\Users\stewe67\PycharmProjects\FilteredTest\dataset\mask_2026-01-13_masked.npy --assets C:\Users\stewe67\PycharmProjects\FilteredTest\dataset\assets_2026-01-13.txt --dates C:\Users\stewe67\PycharmProjects\FilteredTest\dataset\dates_2026-01-13.txt --features C:\Users\stewe67\PycharmProjects\FilteredTest\dataset\features_2026-01-13.json --cfg C:\Users\stewe67\PycharmProjects\FilteredTest\runs_tcn_sweep_robust\sweep\trial_0107\cfg.json --outdir C:\Users\stewe67\PycharmProjects\FilteredTest\runs_full_trial107_seed20263121 --epochs 120 --seed 20263121 --max_anchors_val 0 --early_stop_min_epochs 30 --early_stop_patience 20
[INFO] 2026-01-25 12:24:29,415 - device=cuda
[INFO] loaded cube: A=2395, T=7000, F=25
[INFO] time split: train=[0,4899] val=[4900,5949] test=[5950,6999]
[INFO] date ranges: train 1999-01-04..2017-10-13 | val 2017-10-16..2021-10-22 | test 2021-10-25..2025-10-31
[INFO] applied masked standardization using train-only statistics
[INFO] asset_keep: 2395/2395 assets remain after mask-only filter
[INFO] samples: train=800000 val=1615532 test=1617230
[INFO] 2026-01-25 12:25:09,797 - training start
[INFO] 2026-01-25 13:02:33,490 - E004 S00100/00782 loss=0.632886 ema=0.615311 y_mean=0.527 lr=4.992e-04 step/s=3.69
[INFO] 2026-01-25 13:03:00,392 - E004 S00200/00782 loss=0.611813 ema=0.606397 y_mean=0.516 lr=4.992e-04 step/s=3.71
[INFO] 2026-01-25 13:03:27,249 - E004 S00300/00782 loss=0.594319 ema=0.602760 y_mean=0.507 lr=4.992e-04 step/s=3.71
[INFO] 2026-01-25 13:03:54,251 - E004 S00400/00782 loss=0.609409 ema=0.599832 y_mean=0.539 lr=4.992e-04 step/s=3.71
[INFO] 2026-01-25 13:04:20,967 - E004 S00500/00782 loss=0.586389 ema=0.586604 y_mean=0.486 lr=4.992e-04 step/s=3.72
[INFO] 2026-01-25 13:04:47,877 - E004 S00600/00782 loss=0.601438 ema=0.588907 y_mean=0.505 lr=4.992e-04 step/s=3.72
[INFO] 2026-01-25 13:05:14,597 - E004 S00700/00782 loss=0.559239 ema=0.583011 y_mean=0.541 lr=4.992e-04 step/s=3.72
[INFO] 2026-01-25 13:14:23,216 - [VAL] thr=0.506 trades=887871 avg_rnet=0.002393 winrate=0.552
[INFO] 2026-01-25 13:14:23,224 - E004 DONE train_loss=0.596499 val_bce=0.735227 val_acc@0.5=0.5381 n_val=1615532 epoch_time_s=736.8
[INFO] 2026-01-25 13:14:23,609 - E005 S00001/00782 loss=0.569074 ema=0.569074 y_mean=0.487 lr=4.986e-04 step/s=2.59
[INFO] 2026-01-25 13:14:50,200 - E005 S00100/00782 loss=0.584661 ema=0.572065 y_mean=0.484 lr=4.986e-04 step/s=3.71
[INFO] 2026-01-25 13:15:16,885 - E005 S00200/00782 loss=0.576669 ema=0.574926 y_mean=0.498 lr=4.986e-04 step/s=3.73
[INFO] 2026-01-25 13:15:43,716 - E005 S00300/00782 loss=0.570621 ema=0.568054 y_mean=0.531 lr=4.986e-04 step/s=3.73
[INFO] 2026-01-25 13:16:10,656 - E005 S00400/00782 loss=0.565495 ema=0.571339 y_mean=0.520 lr=4.986e-04 step/s=3.72
[INFO] 2026-01-25 13:16:37,354 - E005 S00500/00782 loss=0.559078 ema=0.563686 y_mean=0.522 lr=4.986e-04 step/s=3.73
[INFO] 2026-01-25 13:17:04,240 - E005 S00600/00782 loss=0.573758 ema=0.573788 y_mean=0.517 lr=4.986e-04 step/s=3.73
[INFO] 2026-01-25 13:17:30,993 - E005 S00700/00782 loss=0.535765 ema=0.558517 y_mean=0.535 lr=4.986e-04 step/s=3.73
[INFO] 2026-01-25 13:26:39,995 - [VAL] thr=0.959 trades=231 avg_rnet=0.013475 winrate=0.732
[INFO] 2026-01-25 13:26:39,995 - E005 DONE train_loss=0.569137 val_bce=0.772839 val_acc@0.5=0.5341 n_val=1615532 epoch_time_s=736.8
[INFO] 2026-01-25 13:26:40,383 - E006 S00001/00782 loss=0.558417 ema=0.558417 y_mean=0.511 lr=4.979e-04 step/s=2.58
[INFO] 2026-01-25 13:27:07,090 - E006 S00100/00782 loss=0.583308 ema=0.557814 y_mean=0.519 lr=4.979e-04 step/s=3.69
[INFO] 2026-01-25 13:27:33,797 - E006 S00200/00782 loss=0.548735 ema=0.556854 y_mean=0.486 lr=4.979e-04 step/s=3.72
[INFO] 2026-01-25 13:28:00,968 - E006 S00300/00782 loss=0.561796 ema=0.553855 y_mean=0.551 lr=4.979e-04 step/s=3.70
[INFO] 2026-01-25 13:28:27,758 - E006 S00400/00782 loss=0.566150 ema=0.555432 y_mean=0.537 lr=4.979e-04 step/s=3.71
[INFO] 2026-01-25 13:28:54,713 - E006 S00500/00782 loss=0.538428 ema=0.551927 y_mean=0.521 lr=4.979e-04 step/s=3.71
[INFO] 2026-01-25 13:29:21,477 - E006 S00600/00782 loss=0.567220 ema=0.551333 y_mean=0.512 lr=4.979e-04 step/s=3.72
[INFO] 2026-01-25 13:29:48,402 - E006 S00700/00782 loss=0.545151 ema=0.555417 y_mean=0.508 lr=4.979e-04 step/s=3.72
[INFO] 2026-01-25 13:39:02,258 - [VAL] thr=0.953 trades=200 avg_rnet=0.007890 winrate=0.745
[INFO] 2026-01-25 13:39:02,258 - E006 DONE train_loss=0.554403 val_bce=0.758636 val_acc@0.5=0.5182 n_val=1615532 epoch_time_s=742.3
[INFO] 2026-01-25 13:39:02,834 - E007 S00001/00782 loss=0.539209 ema=0.539209 y_mean=0.514 lr=4.969e-04 step/s=1.75
[INFO] 2026-01-25 13:39:29,318 - E007 S00100/00782 loss=0.526757 ema=0.540868 y_mean=0.540 lr=4.969e-04 step/s=3.70
[INFO] 2026-01-25 13:39:56,225 - E007 S00200/00782 loss=0.562435 ema=0.544328 y_mean=0.495 lr=4.969e-04 step/s=3.71
[INFO] 2026-01-25 13:40:22,949 - E007 S00300/00782 loss=0.556407 ema=0.544504 y_mean=0.513 lr=4.969e-04 step/s=3.72
[INFO] 2026-01-25 13:40:50,029 - E007 S00400/00782 loss=0.559362 ema=0.549920 y_mean=0.488 lr=4.969e-04 step/s=3.71
[INFO] 2026-01-25 13:41:16,731 - E007 S00500/00782 loss=0.559438 ema=0.546586 y_mean=0.524 lr=4.969e-04 step/s=3.72
[INFO] 2026-01-25 13:41:43,605 - E007 S00600/00782 loss=0.567630 ema=0.549548 y_mean=0.507 lr=4.969e-04 step/s=3.72
[INFO] 2026-01-25 13:42:10,352 - E007 S00700/00782 loss=0.549668 ema=0.545144 y_mean=0.539 lr=4.969e-04 step/s=3.72
[INFO] 2026-01-25 13:51:18,463 - [VAL] thr=0.978 trades=338 avg_rnet=0.020603 winrate=0.805
[INFO] 2026-01-25 13:51:18,463 - E007 DONE train_loss=0.544654 val_bce=0.798758 val_acc@0.5=0.5294 n_val=1615532 epoch_time_s=736.2
[INFO] 2026-01-25 13:51:18,863 - E008 S00001/00782 loss=0.548987 ema=0.548987 y_mean=0.492 lr=4.958e-04 step/s=2.53
[INFO] 2026-01-25 13:51:45,828 - E008 S00100/00782 loss=0.522985 ema=0.536477 y_mean=0.488 lr=4.958e-04 step/s=3.65
[INFO] 2026-01-25 13:52:12,490 - E008 S00200/00782 loss=0.553850 ema=0.539058 y_mean=0.525 lr=4.958e-04 step/s=3.70
[INFO] 2026-01-25 13:52:39,369 - E008 S00300/00782 loss=0.553620 ema=0.539477 y_mean=0.501 lr=4.958e-04 step/s=3.71
[INFO] 2026-01-25 13:53:06,276 - E008 S00400/00782 loss=0.527914 ema=0.537995 y_mean=0.502 lr=4.958e-04 step/s=3.71
[INFO] 2026-01-25 13:53:32,953 - E008 S00500/00782 loss=0.541293 ema=0.537971 y_mean=0.545 lr=4.958e-04 step/s=3.72
[INFO] 2026-01-25 13:53:59,801 - E008 S00600/00782 loss=0.529266 ema=0.534940 y_mean=0.531 lr=4.958e-04 step/s=3.72
[INFO] 2026-01-25 13:54:26,462 - E008 S00700/00782 loss=0.549655 ema=0.537451 y_mean=0.488 lr=4.958e-04 step/s=3.72
[INFO] 2026-01-25 14:03:35,600 - [VAL] thr=0.500 trades=1049323 avg_rnet=0.000835 winrate=0.540
[INFO] 2026-01-25 14:03:35,600 - E008 DONE train_loss=0.537129 val_bce=0.824044 val_acc@0.5=0.5318 n_val=1615532 epoch_time_s=737.1
[INFO] 2026-01-25 14:03:35,962 - E009 S00001/00782 loss=0.542888 ema=0.542888 y_mean=0.503 lr=4.945e-04 step/s=2.76
[INFO] 2026-01-25 14:04:02,596 - E009 S00100/00782 loss=0.517306 ema=0.526561 y_mean=0.518 lr=4.945e-04 step/s=3.70
[INFO] 2026-01-25 14:04:29,284 - E009 S00200/00782 loss=0.516520 ema=0.529247 y_mean=0.519 lr=4.945e-04 step/s=3.73
[INFO] 2026-01-25 14:04:56,144 - E009 S00300/00782 loss=0.509032 ema=0.533354 y_mean=0.517 lr=4.945e-04 step/s=3.72
